name,twitter,from,followers,following,true_followers,true_following,to_check_followers,to_check_following
Arthur R. Kroeber,,brookings,0,0,0,0,0,0
David Devraj Kumar,,brookings,0,0,0,0,0,0
Christina Kwauk,CKwauk,brookings,0,0,0,0,0,0
Helen F. Ladd,,brookings,0,0,0,0,0,0
Jonathan M. Ladd,jonmladd,brookings,0,0,0,0,0,0
Robert E. Lang,,brookings,0,0,0,0,0,0
Addisu Lashitew,AddisuLashitew,brookings,0,0,0,0,0,0
Jennifer L. Lawless,jenlawlessWPI,brookings,0,0,0,0,0,0
Ju-Ho Lee,,brookings,0,0,0,0,0,0
Nicol Turner Lee,drturnerlee,brookings,0,0,0,0,0,0
Elizabeth Mann Levesque,elizkmann,brookings,0,0,0,0,0,0
Blair Levin,BlairLevin,brookings,0,0,0,0,0,0
Jason Levitis,jasonlevitis,brookings,0,0,0,0,0,0
Santiago Levy,,brookings,0,0,0,0,0,0
Shoshana Lew,,brookings,0,0,0,0,0,0
Robin Lewis,rjlewis2015,brookings,0,0,0,0,0,0
Cheng Li,,brookings,0,0,0,0,0,0
Nellie Liang,,brookings,0,0,0,0,0,0
Steven M. Lieberman,,brookings,0,0,0,0,0,0
Kenneth G. Lieberthal,ChinaKenL,brookings,0,0,0,0,0,0
Adam P. Liff,AdamPLiff,brookings,0,0,1617,592,1617,592
Paul C. Light,,brookings,0,0,0,0,0,0
Johannes F. Linn,,brookings,0,0,0,0,0,0
Robert E. Litan,,brookings,0,0,0,0,0,0
Amy Liu,amy_liuw,brookings,0,0,0,0,0,0
Tracy Hadden Loh,lohplaces,brookings,0,0,0,0,0,0
Adam Looney,,brookings,0,0,0,0,0,0
Abraham F. Lowenthal,,brookings,0,0,0,0,0,0
Jens Ludwig,,brookings,0,0,0,0,0,0
Nora Lustig,noralustig,brookings,0,0,0,0,0,0
Tanvi Madan,tanvi_madan,brookings,0,0,41900,3527,41900,3527
Giovanna De Maio,giovDM,brookings,0,0,0,0,0,0
Suzanne Maloney,MaloneySuzanne,brookings,0,0,32500,2747,32500,2747
Peter Mandaville,pmandaville,brookings,0,0,2848,505,2848,505
Thomas E. Mann,,brookings,0,0,0,0,0,0
Ruth Marcus,RuthMarcus,brookings,0,0,49500,2362,49500,2362
Dayna Bowen Matthew,daynamatthew3,brookings,0,0,0,0,0,0
John Mukum Mbaku,,brookings,0,0,0,0,0,0
Ahmadou Aly Mbaye,,brookings,0,0,0,0,0,0
John McArthur,mcarthur,brookings,0,0,0,0,0,0
Brad McDearman,,brookings,0,0,0,0,0,0
Warwick J. McKibbin,WarwickMcKibbin,brookings,0,0,0,0,0,0
John McLaughlin,,brookings,0,0,0,0,0,0
Michael J. Meaney,,brookings,0,0,0,0,0,0
Vikram Singh Mehta,BrookingsIndia,brookings,0,0,25700,523,25700,523
Joshua P. Meltzer,JoshuaPMeltzer,brookings,0,0,0,0,0,0
Shivshankar Menon,,brookings,0,0,0,0,0,0
Chris Meserole,chrismeserole,brookings,0,0,0,0,0,0
Lewis M. Milford,LewMilford,brookings,0,0,0,0,0,0
Jason S. Miller,,brookings,0,0,0,0,0,0
Hu Min,,brookings,0,0,0,0,0,0
Reena V Mithal,,brookings,0,0,0,0,0,0
Alicia Sasser Modestino,SasserModestino,brookings,0,0,0,0,0,0
Rakesh Mohan,,brookings,0,0,0,0,0,0
Molly Montgomery,MollyMontgomery,brookings,0,0,2073,1647,2073,1647
John B. Morris Jr.,jmorrisjr,brookings,0,0,0,0,0,0
Adele Morris,AdeleCMorris,brookings,0,0,2191,606,2191,606
Anit Mukherjee,Mukherjee_Anit,brookings,0,0,1792,333,1792,333
Alicia H. Munnell,,brookings,0,0,0,0,0,0
Mark Muro,markmuro1,brookings,0,0,0,0,0,0
Zachary P. Neal,,brookings,0,0,0,0,0,0
Jane Nelson,,brookings,0,0,0,0,0,0
Richard Nephew,RichardMNephew,brookings,0,0,0,0,0,0
Jackson Nickerson,,brookings,0,0,0,0,0,0
Milena Nikolova,milenkanik,brookings,0,0,0,0,0,0
Victoria Nuland,,brookings,0,0,0,0,0,0
Ryan Nunn,ryandnunn,brookings,0,0,0,0,0,0
Michael E. O’Hanlon,MichaelEOHanlon,brookings,0,0,11200,45,11200,45
Ngozi Okonjo-Iweala,,brookings,0,0,0,0,0,0
Ken Opalo,kopalo,brookings,0,0,0,0,0,0
Daniel E. Ortega,dortegaeval,brookings,0,0,0,0,0,0
Evan Osnos,eosnos,brookings,0,0,87800,1942,87800,1942
John Page,,brookings,0,0,0,0,0,0
Jung H. Pak,junghpak1,brookings,0,0,18600,591,18600,591
Joseph Parilla,joeparilla,brookings,0,0,0,0,0,0
Eric M. Patashnik,EricPatashnik,brookings,0,0,0,0,0,0
Kavita Patel,kavitapmd,brookings,0,0,6431,184,6431,184
Theodore Pelagidis,,brookings,0,0,0,0,0,0
Thomas Pepinsky,tompepinsky,brookings,0,0,0,0,0,0
George L. Perry,,brookings,0,0,0,0,0,0
Andre M. Perry,andreperryedu,brookings,0,0,0,0,0,0
Kadira Pethiyagoda,KPethiyagoda,brookings,0,0,0,0,0,0
Peter A. Petri,,brookings,0,0,0,0,0,0
Ted Piccone,piccone_ted,brookings,0,0,2316,577,2316,577
Thomas Pickering,,brookings,0,0,0,0,0,0
Lamar Pierce,,brookings,0,0,0,0,0,0
Steven Pifer,steven_pifer,brookings,0,0,22700,573,22700,573
Luiz Pinto,,brookings,0,0,0,0,0,0
Anthony F. Pipa,anthonypipa,brookings,0,0,2351,932,2351,932
Jonathan D. Pollack,,brookings,0,0,0,0,0,0
Robert C. Pozen,Pozen,brookings,0,0,0,0,0,0
Eswar Prasad,EswarSPrasad,brookings,0,0,0,0,0,0
Robert Puentes,rpuentes,brookings,0,0,0,0,0,0
Ye Qi,,brookings,0,0,0,0,0,0
Patrick W. Quirk,patrickwquirk,brookings,0,0,310,635,310,635
Zia Qureshi,,brookings,0,0,0,0,0,0
Barry G. Rabe,BarryRabe,brookings,0,0,0,0,0,0
Itamar Rabinovich,,brookings,0,0,0,0,0,0
Steve Radelet,,brookings,0,0,0,0,0,0
Omar H. Rahman,omarrahman,brookings,0,0,0,0,0,0
John D. Ratliff,,brookings,0,0,0,0,0,0
Jonathan Rauch,jon_rauch,brookings,0,0,0,0,0,0
Shamika Ravi,ShamikaRavi,brookings,0,0,0,0,0,0
Rashawn Ray,SociologistRay,brookings,0,0,0,0,0,0
Sarah Reber,econsarahreber,brookings,0,0,0,0,0,0
Douglas A. Rediker,dougrediker,brookings,0,0,0,0,0,0
Richard V. Reeves,RichardvReeves,brookings,0,0,15100,3171,15100,3171
Walter Reich,,brookings,0,0,0,0,0,0
Ana Revenga,analerevenga,brookings,0,0,0,0,0,0
Evans J.R. Revere,,brookings,0,0,0,0,0,0
Molly E. Reynolds,mollyereynolds,brookings,0,0,8541,223,8541,223
Bruce Riedel,,brookings,0,0,0,0,0,0
Timmons Roberts,timmonsroberts,brookings,0,0,0,0,0,0
Lori Robinson,,brookings,0,0,0,0,0,0
Jenny Perlman Robinson,JennyPerlman,brookings,0,0,0,0,0,0
Heather M. Roff,hmroff,brookings,0,0,0,0,0,0
Melissa Rogers,melissarogers,brookings,0,0,0,0,0,0
Eric Rosand,rosanderic,brookings,0,0,0,0,0,0
Frank A. Rose,,brookings,0,0,0,0,0,0
Tom Rosenstiel,TomRosenstiel,brookings,0,0,0,0,0,0
Martha Ross,marthahross,brookings,0,0,0,0,0,0
Jonathan Rothwell,jtrothwell,brookings,0,0,2494,607,2494,607
Mary Jean Ryan,,brookings,0,0,0,0,0,0
Natan Sachs,natansachs,brookings,0,0,7539,2057,7539,2057
Larbi Sadiki,,brookings,0,0,0,0,0,0
Sahil Gandhi,,brookings,0,0,0,0,0,0
Urvashi Sahni,urvashi_sahni,brookings,0,0,0,0,0,0
Djavad Salehi-Isfahani,,brookings,0,0,0,0,0,0
Rodney Sampson,,brookings,0,0,0,0,0,0
Thomas W. Sanchez,,brookings,0,0,0,0,0,0
Ottawa Sanders,,brookings,0,0,0,0,0,0
Arturo Sarukhan,Arturo_Sarukhan,brookings,0,0,186000,996,186000,996
Elizabeth N. Saunders,ProfSaunders,brookings,0,0,13100,3962,13100,3962
Isabel V. Sawhill,isawhill,brookings,0,0,4135,275,4135,275
Diane Whitmore Schanzenbach,dwschanz,brookings,0,0,0,0,0,0
Witney Schneidman,WitneySchneid,brookings,0,0,0,0,0,0
Jenny Schuetz,jenny_schuetz,brookings,0,0,0,0,0,0
Steven Seltzer,,brookings,0,0,0,0,0,0
Jay Shambaugh,JayCShambaugh,brookings,0,0,0,0,0,0
Jordan Shapiro,jordosh,brookings,0,0,0,0,0,0
Jeremy Shapiro,jyshapiro,brookings,0,0,0,0,0,0
Louise Sheiner,,brookings,0,0,0,0,0,0
Jim Shelton,JIMSEDU,brookings,0,0,0,0,0,0
Katherine Sierra,,brookings,0,0,0,0,0,0
Landry Signé,LandrySigne,brookings,0,0,2666,527,2666,527
Harsha Vardhana Singh,,brookings,0,0,0,0,0,0
Pavneet Singh,,brookings,0,0,0,0,0,0
Amanda Sloat,A_Sloat,brookings,0,0,0,0,0,0
Dennis J. Snower,DJSnower,brookings,0,0,0,0,0,0
Javier Solana,javiersolana,brookings,0,0,0,0,0,0
Mireya Solís,solis_msolis,brookings,0,0,2513,220,2513,220
Vera Songwe,SongweVera,brookings,0,0,0,0,0,0
Julia Stasch,,brookings,0,0,0,0,0,0
Tom Stefanick,,brookings,0,0,0,0,0,0
Constanze Stelzenmüller,ConStelz,brookings,0,0,16200,2044,16200,2044
Angela Stent,AngelaStent,brookings,0,0,4241,253,4241,253
Todd Stern,tsterndc,brookings,0,0,0,0,0,0
James Stock,,brookings,0,0,0,0,0,0
Jonathan Stromseth,,brookings,0,0,0,0,0,0
Yun Sun,,brookings,0,0,0,0,0,0
Mia Swart,,brookings,0,0,0,0,0,0
Amadou Sy,ASYBrookings,brookings,0,0,0,0,0,0
Strobe Talbott,strobetalbott,brookings,0,0,49400,2698,49400,2698
Caitlin Talmadge,ProfTalmadge,brookings,0,0,5290,1334,5290,1334
Ran Tao,,brookings,0,0,0,0,0,0
Daniel K. Tarullo,,brookings,0,0,0,0,0,0
Torrey Taussig,torrey_taussig,brookings,0,0,1543,736,1543,736
Jerry Taylor,,brookings,0,0,0,0,0,0
Mark Taylor,,brookings,0,0,0,0,0,0
Margaret L. Taylor,MargLTaylor,brookings,0,0,0,0,0,0
Ömer Taşpınar,otaspinar,brookings,0,0,0,0,0,0
Shibley Telhami,ShibleyTelhami,brookings,0,0,0,0,0,0
Kathryn Dunn Tenpas,kdtenpas,brookings,0,0,0,0,0,0
Mallika Thomas,,brookings,0,0,0,0,0,0
Susan A. Thornton,suea_thornton,brookings,0,0,3191,333,3191,333
Adie Tomer,AdieTomer,brookings,0,0,0,0,0,0
Rahul Tongia,DrTongia,brookings,0,0,0,0,0,0
Adam Triggs,AdamJTriggs,brookings,0,0,0,0,0,0
Harold Trinkunas,htrinkunas,brookings,0,0,0,0,0,0
Erin Trish,,brookings,0,0,0,0,0,0
Jesus Leal Trujillo,,brookings,0,0,0,0,0,0
Shalini Vajjhala,,brookings,0,0,0,0,0,0
Jon Valant,JonValant,brookings,0,0,601,335,601,335
Emiliana Vegas,EmiVegasV,brookings,0,0,0,0,0,0
Eric Verhoogen,EricVerhoogen,brookings,0,0,0,0,0,0
Zach Vertin,ZachVertin,brookings,0,0,0,0,0,0
Jennifer S. Vey,jvey1,brookings,0,0,0,0,0,0
David G. Victor,,brookings,0,0,0,0,0,0
John Villasenor, Twitter,brookings,0,0,0,0,0,0
Erick Viramontes,,brookings,0,0,0,0,0,0
Julie Wagner,wagnerjk,brookings,0,0,0,0,0,0
Judith-Ann Walker,,brookings,0,0,0,0,0,0
Jeffery T.D. Wallace,,brookings,0,0,0,0,0,0
R. Kent Weaver,,brookings,0,0,0,0,0,0
Anthony Webb,,brookings,0,0,0,0,0,0
Shang-Jin Wei,,brookings,0,0,0,0,0,0
Robert Weissbourd,,brookings,0,0,0,0,0,0
David Wessel,davidmwessel,brookings,0,0,85100,864,85100,864
Darrell M. West,DarrWest,brookings,0,0,0,0,0,0
Rebecca Wexler,RebeccaWexler,brookings,0,0,0,0,0,0
Tom Wheeler,tewheels,brookings,0,0,0,0,0,0
Russell Wheeler,,brookings,0,0,0,0,0,0
Joshua T. White,joshuatwhite,brookings,0,0,7126,1340,7126,1340
Peter J. Wilcoxen,,brookings,0,0,0,0,0,0
Robert D. Williams,,brookings,0,0,0,0,0,0
Vanessa Williamson,v_williamson,brookings,0,0,0,0,0,0
Clifford Winston,,brookings,0,0,0,0,0,0
Rebecca Winthrop,rebeccawinthrop,brookings,0,0,0,0,0,0
Benjamin Wittes,benjaminwittes,brookings,0,0,390000,1875,390000,1875
Tamara Cofman Wittes,tcwittes,brookings,0,0,35300,2426,35300,2426
Justin Wolfers,justinwolfers,brookings,0,0,0,0,0,0
Daniel B. Wright,,brookings,0,0,0,0,0,0
Thomas Wright,thomaswright08,brookings,0,0,28900,1419,28900,1419
Constantino Xavier,constantinox,brookings,0,0,0,0,0,0
Lan Xue,,brookings,0,0,0,0,0,0
Niam Yaraghi,niamyaraghi,brookings,0,0,1055,648,1055,648
Janet L. Yellen,,brookings,0,0,0,0,0,0
Eduardo Levy Yeyati,eduardoyeyati,brookings,0,0,0,0,0,0
Christen Linke Young,,brookings,0,0,0,0,0,0
Tarik M. Yousef,,brookings,0,0,0,0,0,0
Qiao Yu,,brookings,0,0,0,0,0,0
Yahia H. Zoubir,zoubiryh,brookings,0,0,0,0,0,0
Daniel Zovatto,Zovatto55,brookings,0,0,0,0,0,0
توران كيا اوغلو,,brookings,0,0,0,0,0,0
أحمد كورو,,brookings,0,0,0,0,0,0
Samuel J. Abrams @SamuelAbramsAEI,SamuelAbramsAEI,aei,558,0,0,0,-558,0
Joseph Antos @joeantos,joeantos,aei,2040,27,2034,27,-6,0
Leon Aron @AronRTTT,AronRTTT,aei,0,173,0,0,0,-173
Kirsten Axelsen,kjacny,aei,0,199,93,202,93,3
John P. Bailey @John_Bailey,John_Bailey,aei,10468,0,7740,4258,-2728,4258
Claude Barfield,,aei,0,0,0,0,0,0
Michael Barone @MichaelBarone,MichaelBarone,aei,31410,0,31400,19,-10,19
Robert J. Barro,,aei,0,0,0,0,0,0
Roger Bate,RogerBate3,aei,45,32,0,0,-45,-32
Michael Beckley,,aei,0,0,0,0,0,0
Eric J. Belasco,ejbelasco,aei,0,0,515,685,515,685
Ryan C. Berg,RyanBergPhD,aei,1270,0,808,1260,-462,1260
Andrew G. Biggs @biggsag,biggsag,aei,0,0,3209,735,3209,735
Mason M. Bishop,MasonMBishop,aei,1145,0,589,1145,-556,1145
Dan Blumenthal @DAlexBlumenthal,DAlexBlumenthal,aei,0,1291,4724,1291,4724,0
Karlyn Bowman,,aei,0,0,0,0,0,0
Hal Brands,HalBrands,aei,604,0,3770,604,3166,604
Alex Brill @AlexBrill_DC,AlexBrill_DC,aei,1702,818,1096,819,-606,1
Arthur C. Brooks @arthurbrooks,arthurbrooks,aei,30703,0,69000,215,38297,215
Richard Burkhauser,,aei,0,0,0,0,0,0
James C. Capretta,,aei,0,0,0,0,0,0
Timothy P. Carney @TPCarney,TPCarney,aei,1452,1453,52200,1452,50748,-1
Lynne V. Cheney,LynneVCheney,aei,4,4,0,0,-4,-4
Matthew Continetti,continetti,aei,951,951,30800,951,29849,0
Zack Cooper,ZackCooper,aei,0,0,4497,484,4497,484
Jay Cost,JayCostTWS,aei,287,287,35100,287,34813,0
Daniel A. Cox @dcoxpolls,dcoxpolls,aei,657,0,1315,657,658,657
Juan José Daboub,DaboubJorge,aei,107,0,0,0,-107,0
Jason D. Delisle @delislealleges,delislealleges,aei,61,0,2629,61,2568,61
Sadanand Dhume @dhume,dhume,aei,595,0,153000,594,152405,594
Robert Doar,RobertDoar,aei,161,161,1505,159,1344,-2
Giselle Donnelly,,aei,0,0,0,0,0,0
Michael Dougherty,michaelbd,aei,0,0,43200,2383,43200,2383
Colin Dueck,,aei,0,0,0,0,0,0
Mackenzie Eaglen @MEaglen,MEaglen,aei,1474,1474,9770,1474,8296,0
Nicholas Eberstadt,,aei,0,0,0,0,0,0
Jeffrey Eisenach @JeffEisenach,JeffEisenach,aei,385,385,1458,385,1073,0
Joseph B. Fuller,JosephBFuller,aei,241,0,0,0,-241,0
Scott Ganz,,aei,0,0,0,0,0,0
R. Richard Geddes,,aei,0,0,0,0,0,0
Joseph W. Glauber,,aei,0,0,0,0,0,0
Jonah Goldberg @JonahDispatch,JonahDispatch,aei,1194,1194,341000,1195,339806,1
Barry K. Goodwin,,aei,0,0,0,0,0,0
Scott Gottlieb @ScottGottliebMD,ScottGottliebMD,aei,900,900,324000,900,323100,0
Phil Gramm,,aei,0,0,0,0,0,0
Jim Harper @Jim_Harper,Jim_Harper,aei,0,0,5003,824,5003,824
Frederick M. Hess @rickhess99,rickhess99,aei,465,464,18600,465,18135,1
R. Glenn Hubbard,,aei,0,0,0,0,0,0
Benedic N. Ippolito @ben_ippolito,ben_ippolito,aei,0,0,0,0,0,0
Mark Jamison @drj_policy,drj_policy,aei,89,0,338,89,249,89
Matt Jensen @MattHJensen,MattHJensen,aei,690,0,600,690,-90,690
Frederick W. Kagan @@criticalthreats,criticalthreats,aei,608,608,19500,608,18892,0
Leon R. Kass @WSPWH,WSPWH,aei,657,657,0,0,-657,-657
Paul H. Kupiec,,aei,0,0,0,0,0,0
Desmond Lachman,,aei,0,0,0,0,0,0
Roslyn Layton @RoslynLayton,RoslynLayton,aei,0,1259,2632,1259,2632,0
Yuval Levin,,aei,0,0,0,0,0,0
Phillip Lohaus @philliplohaus,philliplohaus,aei,0,0,691,413,691,413
Daniel Lyons @ProfDanielLyons,ProfDanielLyons,aei,799,0,0,0,-799,0
Nat Malkus @natmalkus,natmalkus,aei,0,0,1066,370,1066,370
Oriana Skylar Mastro @osmastro,osmastro,aei,136,136,4032,136,3896,0
John Maurer,,aei,0,0,0,0,0,0
Michael Mazza,mike_mazza,aei,0,2191,3310,2191,3310,0
Rachel M. McCleary,,aei,0,0,0,0,0,0
Bruce D. Meyer,,aei,0,0,0,0,0,0
Thomas P. Miller,,aei,0,0,0,0,0,0
Charles Murray @charlesmurray,charlesmurray,aei,0,0,82900,236,82900,236
Neil Narang,,aei,0,0,0,0,0,0
Roger F. Noriega @rogernoriegaUSA,rogernoriegaUSA,aei,0,0,7768,2354,7768,2354
Stephen D. Oliner,,aei,0,0,0,0,0,0
Ed Olsen,,aei,0,0,0,0,0,0
Norman J. Ornstein @NormOrnstein,NormOrnstein,aei,2645,2645,140000,2645,137355,0
Brent Orrell,,aei,0,0,0,0,0,0
Mark J. Perry @Mark_J_Perry,Mark_J_Perry,aei,1806,1806,21700,1806,19894,0
Tobias Peter,,aei,0,0,0,0,0,0
James Pethokoukis @JimPethokoukis,JimPethokoukis,aei,0,3739,54200,3739,54200,0
Edward J. Pinto,,aei,0,0,0,0,0,0
Danielle Pletka @dpletka,dpletka,aei,0,0,12600,2276,12600,2276
Kenneth Pollack,,aei,0,0,0,0,0,0
Kyle Pomerleau @kpomerleau,kpomerleau,aei,0,772,7377,772,7377,0
Ramesh Ponnuru @RameshPonnuru,RameshPonnuru,aei,632,0,62400,632,61768,632
Angela Rachidi,,aei,0,0,0,0,0,0
Vincent R. Reinhart,,aei,0,0,0,0,0,0
Dalibor Rohac,,aei,0,0,0,0,0,0
Ian Rowe,,aei,0,0,0,0,0,0
Michael Rubin @mrubin1971,mrubin1971,aei,0,0,85600,42,85600,42
Paul Ryan,,aei,0,0,0,0,0,0
Sally Satel @slsatel,slsatel,aei,755,0,0,0,-755,0
Naomi Schaefer Riley @naomisriley,naomisriley,aei,853,853,0,0,-853,-853
Kori Schake,,aei,0,0,0,0,0,0
Diana Schaub,,aei,0,0,0,0,0,0
Anna Scherbina,,aei,0,0,0,0,0,0
Gary J. Schmitt @GaryJSchmitt1,GaryJSchmitt1,aei,204,202,450,204,246,2
Derek Scissors,,aei,0,0,0,0,0,0
Neena Shenai,,aei,0,0,0,0,0,0
Sita Nataraj Slavov,,aei,0,0,0,0,0,0
Vincent H. Smith,,aei,0,0,0,0,0,0
Christina Hoff Sommers @CHSommers,CHSommers,aei,0,370,303000,370,303000,0
Katharine B. Stevens @KBStevens,KBStevens,aei,0,274,0,0,0,-274
Ivana Stradner,,aei,0,0,0,0,0,0
Michael R. Strain @MichaelRStrain,MichaelRStrain,aei,0,0,10200,254,10200,254
Ryan Streeter @streeterryan,streeterryan,aei,209,209,2332,209,2123,0
Bret Swanson @JBSay,JBSay,aei,2108,0,1434,2109,-674,2109
Shane Tews @ShaneTews,ShaneTews,aei,4978,4979,2742,4980,-2236,1
Marc A. Thiessen @marcthiessen,marcthiessen,aei,40267,1370,48800,1371,8533,1
Sean Trende @SeanTrende,SeanTrende,aei,48046,721,47800,720,-246,-1
J. D. Vance,,aei,0,0,0,0,0,0
Stan Veuger @stanveuger,stanveuger,aei,3891,0,3895,988,4,988
Alan D. Viard,,aei,0,0,0,0,0,0
Peter J. Wallison,,aei,0,0,0,0,0,0
Matt Weidinger,,aei,0,0,0,0,0,0
Gregory S. Weiner,,aei,0,0,0,0,0,0
Adam J. White @adamjwhitedc,adamjwhitedc,aei,179,0,6840,179,6661,179
W. Bradford Wilcox @@WilcoxNMP,WilcoxNMP,aei,13368,1271,13000,1271,-368,0
Paul Wolfowitz,,aei,0,0,0,0,0,0
Di Xu,,aei,0,0,0,0,0,0
John Yoo,,aei,0,0,0,0,0,0
Karen E. Young @ProfessorKaren,ProfessorKaren,aei,0,0,6287,801,6287,801
Katherine Zimmerman @KatieZimmerman,KatieZimmerman,aei,491,491,7056,491,6565,0
Benjamin Zycher,,aei,0,0,0,0,0,0